product_code;name;producer_code;category;producer;short_description;description;price;currency;availability;unit;delivery;stock;active;seo_title;vat;images 1
PKM-SSP-176;Energy Search Pro;176;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Energy Search Pro</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 176</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Energy Search Pro – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 176<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";9.58;PLN;1;szt.;3 dni;1;1;Energy Search Pro 176 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1523.jpg
PKM-SSP-185;Precious Trolley;185;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Precious Trolley</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 185</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Precious Trolley – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 185<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";13.35;PLN;1;szt.;3 dni;1;1;Precious Trolley 185 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1524.jpg
PKM-SSP-183;Miracle Headset;183;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Miracle Headset</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 183</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Miracle Headset – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 183<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";3.66;PLN;1;szt.;3 dni;2;1;Miracle Headset 183 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1525.jpg
PKM-SSP-133;Alolan Exeggutor ex;133;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Alolan Exeggutor ex</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 133</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Alolan Exeggutor ex – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 133<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";4.09;PLN;1;szt.;3 dni;2;1;Alolan Exeggutor ex 133 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1526.jpg
PKM-SSP-48;Black Kyurem ex;48;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Black Kyurem ex</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 48</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Black Kyurem ex – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 48<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";3.62;PLN;1;szt.;3 dni;3;1;Black Kyurem ex 48 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1527.jpg
PKM-SSP-37;Scovillain ex;37;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Scovillain ex</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 37</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Scovillain ex – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 37<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";2.88;PLN;1;szt.;3 dni;4;1;Scovillain ex 37 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1528.jpg
PKM-SSP-147;Slaking ex;147;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Slaking ex</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 147</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Slaking ex – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 147<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";3.14;PLN;1;szt.;3 dni;1;1;Slaking ex 147 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1529.jpg
PKM-SSP-186;Scramble Switch;186;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Scramble Switch</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 186</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Scramble Switch – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 186<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";3.66;PLN;1;szt.;3 dni;4;1;Scramble Switch 186 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1530.jpg
PKM-SSP-182;Megaton Blower;182;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Megaton Blower</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 182</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Megaton Blower – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 182<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";3.19;PLN;1;szt.;3 dni;1;1;Megaton Blower 182 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1531.jpg
PKM-SSP-164;Brilliant Blender;164;Karty Pokémon > Scarlet & Violet > Surging Sparks;Pokémon;"<ul style=""margin:0 0 0.7em 1.2em; padding:0; font-size:1.14em;""><li><strong>Brilliant Blender</strong></li><li style=""margin-top:0.3em;"">Zestaw: Surging Sparks</li><li style=""margin-top:0.3em;"">Numer karty: 164</li><li style=""margin-top:0.3em;"">Stan: NM</li><li style=""margin-top:0.3em;"">Typ: </li></ul>";"<div style=""font-size:1.10em;line-height:1.7;""><h2 style=""margin:0 0 0.4em 0;"">Brilliant Blender – Pokémon TCG</h2><p><strong>Zestaw:</strong> Surging Sparks<br><strong>Numer karty:</strong> 164<br><strong>Typ:</strong> <br><strong>Stan:</strong> NM</p><div style=""display:flex;align-items:center;margin:0.5em 0;""><img src=""https://www.pngkey.com/png/full/231-2310791_psa-grading-standards-professional-sports-authenticator.png"" alt=""PSA 10"" style=""height:24px;width:auto;margin-right:0.4em;""/><span>Wartość tej karty w ocenie PSA 10 (2025-09-04): ok. ??? PLN</span></div><p>Dlaczego warto kupić w Kartoteka.shop?</p><ul><li>Oryginalne karty Pokémon</li><li>Bezpieczna wysyłka i solidne opakowanie</li><li>Profesjonalna obsługa klienta</li></ul><p>Jeśli szukasz więcej kart z tego setu – sprawdź <a href=""https://kartoteka.shop/pl/c/Surging-Sparks"">pozostałe oferty</a>.</p></div>";7.96;PLN;1;szt.;3 dni;1;1;Brilliant Blender 164 Surging Sparks;23%;https://sklep839679.shoparena.pl/upload/images/2/img1534.jpg
